HW,CHANNELS,KERNEL_SIZE,STRIDES,FREQ,CAT,STAGE,SCALED_FREQ,SCALED_LOG_FREQ
136.0,16.0,3.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
86.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
124.0,24.0,3.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
68.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
98.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
92.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
96.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
78.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
76.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
100.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
90.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
108.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
96.0,16.0,5.0,1.0,0.0012546644,train,stem,0.0012546643847599626,0.0012542576
108.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
72.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
96.0,24.0,5.0,1.0,0.0012546644,train,stem,0.0012546643847599626,0.0012542576
132.0,24.0,3.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
92.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
112.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
122.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
110.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
124.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
144.0,16.0,5.0,1.0,0.0012546644,train,stem,0.0012546643847599626,0.0012542576
100.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
94.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
120.0,24.0,3.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
84.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
116.0,16.0,5.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
96.0,24.0,3.0,1.0,0.0012546644,train,stem,0.0012546643847599626,0.0012542576
132.0,24.0,5.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
116.0,24.0,3.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
110.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
112.0,24.0,3.0,1.0,0.0013847401,train,stem,0.0013847401132807136,0.0013841817
70.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
120.0,16.0,5.0,1.0,0.0013367329,train,stem,0.001336732879281044,0.0013361914
118.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
80.0,40.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
128.0,24.0,5.0,1.0,0.0013847401,train,stem,0.0013847401132807136,0.0013841817
144.0,24.0,5.0,1.0,0.0012546644,train,stem,0.0012546643847599626,0.0012542576
126.0,16.0,3.0,1.0,0.0010905334,train,stem,0.0010905334493145347,0.0010902509
8.0,480.0,7.0,1.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
28.0,96.0,5.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
30.0,48.0,3.0,1.0,0.0006130445,train,body,0.0006130444817245007,0.0006130845
29.0,128.0,5.0,1.0,0.00053518824,train,body,0.0005351882427930832,0.00053514366
17.0,160.0,5.0,2.0,0.00033052434,train,body,0.00033052434446290135,0.0003306093
7.0,1428.0,3.0,1.0,0.00071983447,train,body,0.0007198344683274627,0.00071973697
12.0,448.0,3.0,1.0,0.0006386534,train,body,0.000638653407804668,0.0006385868
47.0,56.0,7.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
64.0,72.0,7.0,1.0,0.00053106307,train,body,0.0005310630658641458,0.00053109153
29.0,96.0,5.0,1.0,0.00088403653,train,body,0.0008840365335345268,0.0008839236
29.0,160.0,7.0,1.0,0.0005131114,train,body,0.000513111415784806,0.0005130951
51.0,88.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
36.0,96.0,7.0,1.0,0.0006037305,train,body,0.000603730499278754,0.00060366996
53.0,144.0,3.0,2.0,0.00033052434,train,body,0.00033052434446290135,0.0003306093
18.0,240.0,3.0,1.0,0.0005131114,train,body,0.000513111415784806,0.0005130951
16.0,120.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
14.0,144.0,3.0,1.0,0.00051898113,train,body,0.000518981134518981,0.0005190542
64.0,128.0,5.0,2.0,0.0004528446,train,body,0.0004528446006588638,0.00045290586
15.0,232.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
29.0,176.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
26.0,208.0,7.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
58.0,144.0,5.0,1.0,0.000566595,train,body,0.0005665950011461973,0.00056660676
49.0,192.0,3.0,1.0,0.0006005355,train,body,0.0006005354807712138,0.0006005715
17.0,400.0,3.0,1.0,0.00046703618,train,body,0.0004670361813623458,0.00046708935
53.0,96.0,7.0,1.0,0.0006037305,train,body,0.000603730499278754,0.00060366996
14.0,672.0,5.0,1.0,0.0009948614,train,body,0.0009948613587766886,0.0009947168
68.0,216.0,3.0,2.0,0.0004300926,train,body,0.00043009259388782084,0.00043014032
15.0,520.0,3.0,1.0,0.000528242,train,body,0.0005282419733703136,0.00052823115
5.0,744.0,3.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
128.0,96.0,5.0,2.0,0.0009305334,train,body,0.0009305333951488137,0.00093038677
13.0,720.0,5.0,1.0,0.00076954276,train,body,0.0007695427630096674,0.00076942483
110.0,64.0,3.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
37.0,96.0,7.0,1.0,0.0006037305,train,body,0.000603730499278754,0.00060366996
6.0,1200.0,5.0,1.0,0.0011198387,train,body,0.001119838678278029,0.0011195525
25.0,168.0,7.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
22.0,336.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
17.0,560.0,3.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
88.0,72.0,7.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
15.0,672.0,5.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
51.0,88.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
16.0,624.0,5.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
56.0,168.0,5.0,2.0,0.0004300926,train,body,0.00043009259388782084,0.00043014032
6.0,328.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
64.0,252.0,5.0,2.0,0.0004300926,train,body,0.00043009259388782084,0.00043014032
49.0,32.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
35.0,72.0,3.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
46.0,176.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
28.0,200.0,3.0,1.0,0.0007027821,train,body,0.000702782126609236,0.0007026972
48.0,128.0,5.0,1.0,0.00082519394,train,body,0.0008251939434558153,0.00082506734
63.0,192.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
41.0,72.0,7.0,1.0,0.00053106307,train,body,0.0005310630658641458,0.00053109153
15.0,528.0,3.0,1.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
106.0,48.0,3.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
19.0,144.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
43.0,32.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
28.0,256.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
15.0,288.0,5.0,1.0,0.0006835404,train,body,0.0006835404201410711,0.0006835122
30.0,96.0,3.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
24.0,224.0,3.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
56.0,64.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
13.0,240.0,7.0,1.0,0.00060688704,train,body,0.0006068870425224304,0.0006068876
13.0,336.0,3.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
35.0,192.0,7.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
31.0,160.0,5.0,1.0,0.00068059494,train,body,0.0006805949378758669,0.0006805332
88.0,144.0,5.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
32.0,336.0,5.0,2.0,0.00029890958,train,body,0.00029890958103351295,0.00029890036
