HW,CIN,COUT,KERNEL_SIZE,STRIDES,FREQ,CAT,SCALED_FREQ,SCALED_LOG_FREQ
36.0,88.0,88.0,5.0,2.0,3.0,train,0.0035335689317435026,0.004342956
6.0,576.0,576.0,7.0,1.0,6.0,train,0.007067137863487005,0.0060961093
17.0,80.0,80.0,5.0,1.0,6.0,train,0.007067137863487005,0.0060961093
32.0,288.0,288.0,5.0,2.0,3.0,train,0.0035335689317435026,0.004342956
41.0,48.0,48.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
51.0,88.0,88.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
27.0,88.0,88.0,5.0,1.0,6.0,train,0.007067137863487005,0.0060961093
60.0,64.0,64.0,5.0,2.0,3.0,train,0.0035335689317435026,0.004342956
53.0,176.0,176.0,3.0,2.0,3.0,train,0.0035335689317435026,0.004342956
62.0,176.0,176.0,7.0,2.0,3.0,train,0.0035335689317435026,0.004342956
47.0,64.0,64.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
33.0,64.0,64.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
7.0,328.0,328.0,3.0,1.0,6.0,train,0.007067137863487005,0.0060961093
43.0,72.0,72.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
30.0,256.0,256.0,5.0,2.0,3.0,train,0.0035335689317435026,0.004342956
42.0,72.0,72.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
38.0,72.0,72.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
39.0,40.0,40.0,3.0,1.0,6.0,train,0.007067137863487005,0.0060961093
27.0,88.0,88.0,7.0,1.0,6.0,train,0.007067137863487005,0.0060961093
50.0,104.0,104.0,5.0,2.0,6.0,train,0.007067137863487005,0.0060961093
42.0,48.0,48.0,5.0,1.0,3.0,train,0.0035335689317435026,0.004342956
52.0,72.0,72.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
13.0,720.0,720.0,7.0,2.0,3.0,train,0.0035335689317435026,0.004342956
25.0,288.0,288.0,5.0,2.0,3.0,train,0.0035335689317435026,0.004342956
27.0,288.0,288.0,3.0,2.0,3.0,train,0.0035335689317435026,0.004342956
46.0,32.0,32.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
41.0,72.0,72.0,7.0,1.0,3.0,train,0.0035335689317435026,0.004342956
10.0,288.0,288.0,5.0,1.0,6.0,train,0.007067137863487005,0.0060961093
17.0,64.0,64.0,7.0,1.0,6.0,train,0.007067137863487005,0.0060961093
40.0,144.0,144.0,7.0,2.0,3.0,train,0.0035335689317435026,0.004342956
16.0,104.0,104.0,7.0,1.0,12.0,train,0.01413427572697401,0.008035423
63.0,104.0,104.0,5.0,2.0,6.0,train,0.007067137863487005,0.0060961093
58.0,48.0,48.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
58.0,72.0,72.0,3.0,1.0,3.0,train,0.0035335689317435026,0.004342956
20.0,128.0,128.0,7.0,1.0,6.0,train,0.007067137863487005,0.0060961093
52.0,56.0,56.0,5.0,1.0,6.0,train,0.007067137863487005,0.0060961093
24.0,80.0,80.0,3.0,1.0,6.0,train,0.007067137863487005,0.0060961093
