HW,CIN,COUT,KERNEL_SIZE,STRIDES,FREQ,CAT,STAGE,SCALED_FREQ,SCALED_LOG_FREQ
188.0,3.0,48.0,3.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
66.0,40.0,64.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
220.0,3.0,64.0,5.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
120.0,16.0,24.0,1.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
224.0,3.0,24.0,3.0,2.0,0.00074234157,train,stem,0.0007423415663652122,0.0007423439
88.0,48.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
108.0,40.0,48.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
98.0,64.0,64.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
126.0,64.0,48.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
86.0,48.0,48.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
116.0,64.0,64.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
224.0,3.0,48.0,7.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
102.0,48.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
64.0,64.0,64.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
70.0,64.0,48.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
80.0,40.0,48.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
118.0,48.0,64.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
236.0,3.0,48.0,7.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
82.0,48.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
64.0,40.0,48.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
204.0,3.0,40.0,3.0,2.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
100.0,40.0,24.0,1.0,1.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
68.0,40.0,48.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
96.0,64.0,48.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
112.0,40.0,40.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
176.0,3.0,64.0,3.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
140.0,3.0,48.0,7.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
106.0,40.0,64.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
86.0,40.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
240.0,3.0,64.0,5.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
102.0,64.0,64.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
124.0,40.0,40.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
92.0,64.0,48.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
72.0,48.0,64.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
100.0,64.0,40.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
112.0,24.0,16.0,1.0,1.0,0.00074234157,train,stem,0.0007423415663652122,0.0007423439
144.0,3.0,64.0,5.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
196.0,3.0,16.0,3.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
232.0,3.0,16.0,3.0,2.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
64.0,64.0,48.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
102.0,16.0,16.0,1.0,1.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
68.0,40.0,48.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
224.0,3.0,64.0,3.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
74.0,40.0,64.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
112.0,48.0,48.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
184.0,3.0,40.0,7.0,2.0,0.00061833503,train,stem,0.0006183350342325866,0.0006183999
120.0,48.0,40.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
96.0,40.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
90.0,64.0,40.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
106.0,48.0,48.0,7.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
96.0,16.0,16.0,1.0,1.0,0.00079241773,train,stem,0.00079241773346439,0.00079239387
120.0,64.0,48.0,5.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
74.0,48.0,64.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
94.0,40.0,64.0,3.0,1.0,0.0006803271,train,stem,0.000680327124428004,0.00068037387
