HW,CHANNELS,KERNEL_SIZE,STRIDES,FREQ,CAT,SCALED_FREQ,SCALED_LOG_FREQ
21.0,336.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
32.0,408.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
116.0,48.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
16.0,336.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
30.0,336.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
84.0,40.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
10.0,816.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
16.0,48.0,3.0,1.0,0.0015873016,train,0.0015873016091063619,0.0015905154
112.0,64.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
24.0,336.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
47.0,208.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
32.0,336.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
8.0,48.0,3.0,1.0,0.0015873016,train,0.0015873016091063619,0.0015905154
33.0,256.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
86.0,64.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
34.0,48.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
128.0,64.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
15.0,1024.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
19.0,408.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
6.0,2048.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
21.0,512.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
46.0,168.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
63.0,64.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
43.0,64.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
18.0,336.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
46.0,64.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
16.0,64.0,3.0,1.0,0.0015873016,train,0.0015873016091063619,0.0015905154
61.0,48.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
32.0,64.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
126.0,48.0,3.0,2.0,0.00047619047,train,0.0004761904710903764,0.00047747928
60.0,48.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
21.0,336.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
16.0,664.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
28.0,408.0,1.0,1.0,0.008571428,train,0.008571428246796131,0.008559087
53.0,40.0,1.0,1.0,0.004285714,train,0.004285714123398066,0.004288675
57.0,256.0,2.0,2.0,0.004285714,train,0.004285714123398066,0.004288675
