3#72#None_5#72#None_7#88#None_3#80#None_5#72#None,1x64x20x20,0.5390,10.0344,0.1041,0.6136
7#80#None_7#88#None,1x64x28x28,0.5303,10.5354,0.0554,0.8663
5#72#None_7#88#None_7#80#None,1x56x20x20,0.5094,7.3416,0.0758,0.5642
5#80#None_5#88#None,1x48x28x28,0.5430,8.4876,0.0449,0.5859
3#72#None_3#72#None_5#88#None_5#72#None,1x48x28x28,0.5371,13.9380,0.0740,0.8624
7#72#None_3#72#None_5#88#None,1x32x20x20,0.5409,5.0968,0.0531,0.3454
3#72#None_5#72#None_3#80#None,1x48x20x20,0.5612,4.6432,0.0485,0.2525
3#88#None_7#80#None_7#80#None_5#88#None_7#80#None,1x32x20x20,0.5596,11.8544,0.1225,0.8993
7#88#None_3#88#None_5#88#None_7#80#None,1x40x20x20,0.5230,8.6728,0.0898,0.6426
5#88#None_7#88#None_5#72#None_7#88#None_3#72#None_7#80#None,1x72x24x24,0.4850,20.6358,0.1481,1.5871
3#72#None_5#80#None_7#88#None_7#88#None,1x72x24x24,0.5198,13.3540,0.0959,1.0229
3#72#None_3#72#None_7#72#None,1x40x20x20,0.5736,4.1040,0.0429,0.2841
5#72#None_3#88#None,1x72x20x20,0.5540,4.1008,0.0426,0.2201
5#80#None_3#88#None_3#88#None_3#72#None_3#80#None_5#80#None,1x64x28x28,0.4708,22.7423,0.1206,1.1735
5#88#None_7#88#None_7#72#None,1x40x28x28,0.5174,13.2872,0.0701,1.1600
3#72#None_3#72#None,1x32x28x28,0.6230,4.3888,0.0236,0.2252
7#88#None_7#72#None_5#88#None,1x48x24x24,0.4869,10.5074,0.0754,0.8638
7#72#None_3#80#None_7#72#None_3#80#None_3#88#None_7#88#None,1x40x20x20,0.4897,12.6608,0.1312,0.8301
3#72#None_7#88#None_5#80#None,1x40x28x28,0.5474,12.7180,0.0673,0.8947
7#88#None_3#80#None_5#88#None_3#80#None_3#72#None_5#80#None,1x48x28x28,0.4706,26.0006,0.1376,1.5003
5#80#None_5#72#None_5#88#None_3#88#None,1x48x20x20,0.4931,7.9272,0.0824,0.4858
3#80#None_7#72#None,1x64x24x24,0.5828,6.0607,0.0436,0.4456
5#72#None_3#80#None_5#80#None,1x40x24x24,0.5205,7.1758,0.0520,0.5163
5#88#None_7#72#None_5#88#None_3#80#None_5#80#None,1x24x20x20,0.5550,10.3672,0.1076,0.6814
5#72#None_5#72#None_7#80#None_5#88#None_5#80#None,1x72x28x28,0.4830,21.4016,0.1130,1.5874
