3#24#None_7#24#None_5#32#None,1x32x56x56,0.5788,7.9027,0.0109,1.2180
3#32#None_7#24#None_5#32#None_7#24#None,1x32x56x56,0.5917,13.5789,0.0185,1.9629
5#32#None_3#32#None_3#24#None,1x24x56x56,0.5995,7.2128,0.0101,0.7579
3#24#None_7#32#None,1x32x48x48,0.5480,4.5619,0.0085,0.6699
7#32#None_3#24#None,1x40x48x48,0.5757,5.6033,0.0103,0.7986
5#32#None_5#32#None_3#24#None,1x32x56x56,0.5860,8.5738,0.0118,1.0795
7#24#None_7#32#None_5#24#None_7#32#None,1x32x56x56,0.5571,14.8772,0.0202,2.4300
3#24#None_5#32#None,1x32x56x56,0.5544,5.1556,0.0072,0.6281
5#32#None_7#24#None,1x40x40x40,0.5722,4.0960,0.0109,0.5445
7#24#None_3#24#None_7#32#None,1x32x40x40,0.5690,4.6976,0.0125,0.6896
7#24#None_5#32#None,1x32x40x40,0.5365,3.5264,0.0094,0.5123
7#24#None_3#32#None,1x32x40x40,0.5408,3.1680,0.0085,0.4163
3#24#None_3#24#None_3#32#None,1x40x56x56,0.5863,6.0525,0.0085,0.5106
5#32#None_5#32#None_7#32#None,1x40x40x40,0.5346,5.6864,0.0151,0.7402
3#24#None_5#24#None,1x24x48x48,0.5775,2.5989,0.0050,0.3703
5#32#None_7#24#None_7#32#None,1x40x56x56,0.5611,12.1865,0.0165,1.8482
5#32#None_5#32#None_5#32#None,1x32x56x56,0.5422,9.3829,0.0128,1.3588
7#32#None_7#24#None_5#32#None,1x40x40x40,0.5585,6.3712,0.0169,0.8904
7#32#None_7#24#None_5#32#None_7#24#None,1x32x48x48,0.5797,11.4509,0.0211,1.9081
7#32#None_3#32#None_5#24#None,1x40x48x48,0.5870,7.6308,0.0141,1.0827
7#32#None_5#32#None,1x40x56x56,0.5290,8.4358,0.0114,1.2685
3#32#None_7#32#None_3#24#None,1x40x48x48,0.5993,6.9304,0.0129,0.8966
7#24#None_5#32#None_5#32#None,1x40x40x40,0.5331,5.2960,0.0141,0.7367
3#32#None_7#24#None_5#32#None,1x24x56x56,0.5775,9.3139,0.0128,1.3059
7#32#None_5#24#None_3#24#None_3#24#None,1x40x40x40,0.5607,5.5168,0.0148,0.6960
7#32#None_5#24#None,1x24x48x48,0.5760,5.0780,0.0094,0.8199
5#32#None_5#24#None_5#32#None_7#32#None,1x32x40x40,0.5484,6.9312,0.0185,0.8908
5#32#None_7#32#None_7#24#None,1x24x56x56,0.5948,10.9760,0.0149,1.7641
3#24#None_5#32#None,1x32x48x48,0.5476,3.7878,0.0072,0.4575
3#32#None_7#24#None_3#24#None,1x32x56x56,0.5781,7.9090,0.0109,0.9891
5#24#None_5#32#None_3#24#None,1x40x56x56,0.5954,8.3668,0.0115,1.0652
3#32#None_7#24#None_7#24#None_5#32#None,1x24x40x40,0.5728,6.1536,0.0165,0.8482
7#24#None_5#32#None_3#24#None,1x24x56x56,0.5934,8.3543,0.0115,1.2200
3#24#None_5#24#None_7#24#None_5#24#None,1x24x56x56,0.5843,8.1285,0.0112,1.4893
7#32#None_5#32#None_7#32#None_5#32#None,1x32x40x40,0.5595,7.4752,0.0198,1.0317
5#24#None_3#24#None_7#24#None_7#32#None,1x32x40x40,0.5763,5.5616,0.0149,0.8140
3#32#None_7#32#None,1x40x56x56,0.5435,7.3821,0.0100,0.9155
7#32#None_5#24#None,1x32x40x40,0.5722,3.8880,0.0103,0.5364
5#24#None_5#32#None_5#24#None,1x32x40x40,0.5902,4.3936,0.0118,0.5548
7#24#None_5#24#None_7#24#None_3#32#None,1x40x40x40,0.5724,5.8208,0.0156,0.8709
5#32#None_3#32#None_5#24#None,1x24x40x40,0.5981,4.0384,0.0110,0.4573
7#24#None_5#32#None_3#24#None,1x24x40x40,0.5953,4.2624,0.0115,0.5656
7#32#None_7#24#None_7#24#None_3#32#None,1x32x56x56,0.5618,13.8235,0.0188,2.1434
7#24#None_5#32#None_5#24#None,1x40x40x40,0.5837,5.2416,0.0140,0.7336
3#32#None_7#32#None,1x32x40x40,0.5345,3.5328,0.0094,0.4267
7#24#None_7#32#None_7#24#None_5#32#None,1x24x40x40,0.5567,7.2800,0.0194,1.0906
5#32#None_3#24#None_5#32#None_3#24#None,1x32x40x40,0.5891,5.5456,0.0151,0.5625
7#24#None_5#32#None_5#24#None_7#24#None,1x32x48x48,0.5626,9.1192,0.0169,1.4787
7#24#None_3#24#None,1x32x48x48,0.5726,3.7094,0.0069,0.5997
5#32#None_5#24#None_5#24#None_7#32#None,1x40x56x56,0.5634,12.9768,0.0177,1.9779
3#32#None_5#24#None,1x40x48x48,0.5845,4.4605,0.0084,0.4761
7#24#None_5#24#None_5#32#None,1x40x40x40,0.5701,4.7776,0.0128,0.7086
5#32#None_7#24#None_3#24#None,1x24x48x48,0.5677,5.9904,0.0112,0.9143
7#32#None_3#24#None_5#24#None,1x40x40x40,0.5599,4.8320,0.0129,0.6369
3#32#None_5#32#None_5#32#None_3#32#None,1x40x56x56,0.5747,11.0952,0.0153,1.2714
5#32#None_3#24#None_3#24#None_5#32#None,1x40x56x56,0.5649,10.6185,0.0147,1.2444
5#24#None_7#24#None,1x32x48x48,0.5700,4.0412,0.0075,0.6785
5#32#None_3#32#None_7#24#None,1x32x56x56,0.5936,9.5272,0.0130,1.2929
5#24#None_5#24#None,1x40x48x48,0.5663,3.7140,0.0069,0.5560
3#24#None_3#24#None_7#24#None,1x32x40x40,0.5758,3.0816,0.0084,0.4081
5#32#None_3#32#None,1x40x56x56,0.5351,6.2783,0.0086,0.6788
3#32#None_7#24#None_5#32#None,1x32x56x56,0.5776,9.7718,0.0134,1.3152
5#24#None_7#24#None_7#32#None,1x40x40x40,0.5739,5.1616,0.0137,0.7915
7#24#None_7#32#None_3#32#None,1x40x56x56,0.5392,10.6310,0.0144,1.6051
5#24#None_7#24#None_7#24#None_5#24#None,1x32x56x56,0.5746,10.0916,0.0138,1.9723
5#24#None_3#32#None_5#24#None,1x24x48x48,0.5972,5.4743,0.0103,0.6962
