3#176#None_3#192#None_5#192#None_3#176#None_5#160#None,1x64x14x14,0.3401,86.0330,0.4474,1.7502
5#192#None_3#160#None_5#160#None_3#160#None_5#176#None,1x112x12x12,0.3322,55.6785,0.3944,1.4231
5#176#None_5#176#None_5#192#None,1x64x14x14,0.3712,47.8052,0.2488,1.0668
3#192#None_5#192#None_3#192#None_3#160#None_5#176#None,1x128x12x12,0.3265,62.6849,0.4436,1.4296
5#160#None_3#192#None,1x96x10x10,0.3785,16.4192,0.1676,0.5419
5#192#None_5#192#None_5#176#None_3#192#None,1x128x10x10,0.3398,39.2864,0.3999,1.0451
5#192#None_3#192#None_3#160#None_3#192#None_5#160#None_5#176#None,1x128x14x14,0.3148,108.6655,0.5647,2.2381
5#192#None_5#176#None_5#160#None_5#176#None_3#160#None_3#192#None,1x64x10x10,0.3411,54.8032,0.5584,1.5205
3#160#None_5#160#None_5#192#None_3#160#None_5#192#None,1x96x12x12,0.3259,60.8026,0.4304,1.5843
3#176#None_3#160#None_5#176#None,1x80x10x10,0.3732,24.2080,0.2471,0.7249
3#176#None_5#160#None_3#192#None_3#176#None_5#176#None,1x144x12x12,0.3106,64.6502,0.4574,1.4411
3#192#None_3#176#None_3#192#None,1x144x12x12,0.3618,43.8935,0.3104,0.8449
5#176#None_5#176#None_5#160#None_5#192#None_3#160#None,1x144x10x10,0.3375,44.8048,0.4564,1.2112
3#160#None_3#160#None_3#176#None,1x144x10x10,0.3855,21.8816,0.2234,0.7696
5#192#None_3#192#None_5#160#None_3#176#None_3#192#None_3#176#None,1x112x14x14,0.3161,109.8478,0.5709,2.2003
5#160#None_3#176#None_5#192#None,1x64x12x12,0.3738,36.8133,0.2607,0.8460
5#176#None_3#160#None_5#160#None_3#176#None_3#176#None_5#192#None,1x96x14x14,0.3202,95.0208,0.4944,2.1483
3#160#None_3#160#None_3#176#None_3#192#None_3#160#None_3#176#None,1x80x12x12,0.3279,69.9909,0.4959,1.5535
5#176#None_3#176#None_3#192#None,1x96x14x14,0.3647,47.9118,0.2494,1.0349
3#160#None_3#160#None_5#160#None_5#160#None,1x112x14x14,0.3424,46.3281,0.2418,1.3675
5#160#None_3#176#None_3#160#None_5#160#None_3#160#None_5#176#None,1x144x14x14,0.3212,90.8499,0.4728,2.0724
5#192#None_5#160#None_5#160#None_3#192#None_3#160#None_5#176#None,1x144x10x10,0.3254,54.2976,0.5531,1.5380
3#160#None_3#192#None_3#192#None_3#160#None_3#192#None,1x96x10x10,0.3369,42.8960,0.4374,1.1404
5#160#None_3#160#None_5#192#None_3#176#None_3#160#None,1x80x12x12,0.3337,58.3488,0.4133,1.4150
5#160#None_3#176#None_5#160#None_5#192#None_3#192#None_5#192#None,1x64x10x10,0.3194,49.9936,0.5097,1.4243
3#160#None_3#192#None_5#176#None,1x144x10x10,0.3622,28.3648,0.2889,0.8263
3#176#None_3#192#None_5#160#None_5#160#None,1x80x12x12,0.3312,46.6906,0.3307,1.0980
3#176#None_3#192#None_3#176#None_3#160#None,1x112x10x10,0.3449,36.7568,0.3746,0.9285
3#160#None_3#160#None,1x112x12x12,0.3757,16.9874,0.1208,0.4453
5#192#None_5#160#None_5#176#None_3#160#None_5#192#None_5#192#None,1x64x12x12,0.3156,77.0043,0.5449,1.8870
5#192#None_3#192#None_5#160#None_5#192#None,1x112x10x10,0.3419,36.7600,0.3745,0.9952
3#192#None_3#176#None_3#160#None_5#176#None,1x144x14x14,0.3349,74.0284,0.3847,1.4565
5#192#None_3#160#None_3#160#None_5#176#None,1x64x10x10,0.3646,30.7824,0.3142,1.0080
3#192#None_3#160#None_5#192#None,1x144x10x10,0.3661,29.2496,0.2979,0.7376
3#192#None_3#160#None_3#192#None_5#192#None,1x128x14x14,0.3269,71.3252,0.3708,1.4443
5#160#None_3#160#None_3#160#None_5#176#None_5#176#None_5#192#None,1x128x12x12,0.3203,66.5303,0.4712,1.6724
5#176#None_3#160#None_3#192#None_5#160#None_5#160#None,1x112x12x12,0.3161,60.3441,0.4272,1.5043
3#192#None_5#176#None_3#176#None_5#160#None,1x128x10x10,0.3412,35.2096,0.3588,1.0221
5#160#None_3#160#None_3#192#None_3#176#None_5#176#None_5#176#None,1x112x10x10,0.3069,46.7168,0.4765,1.4398
3#176#None_3#176#None_5#176#None,1x80x12x12,0.3507,28.4129,0.2017,0.7100
3#176#None_3#160#None_5#192#None_5#160#None,1x80x10x10,0.3456,34.9328,0.3561,0.9564
3#160#None_5#160#None_5#176#None_3#192#None,1x80x10x10,0.3514,31.6016,0.3224,0.9602
5#192#None_5#160#None_5#192#None_5#160#None_3#176#None_3#176#None,1x80x14x14,0.3113,103.6072,0.5387,2.2274
5#192#None_5#176#None_3#160#None_5#160#None_5#160#None_3#176#None,1x64x12x12,0.3355,67.5740,0.4787,1.6414
5#160#None_3#192#None_3#176#None,1x112x14x14,0.3560,53.2305,0.2768,1.2110
3#176#None_3#192#None_3#192#None,1x112x14x14,0.3495,50.5555,0.2630,0.9835
3#160#None_5#176#None_5#176#None_3#160#None_3#160#None_5#176#None,1x144x14x14,0.3171,93.2145,0.4850,2.0174
5#192#None_5#192#None_5#160#None_5#192#None_3#160#None_3#160#None,1x128x12x12,0.2987,75.5389,0.5345,1.8334
5#176#None_5#176#None_5#192#None_5#160#None,1x80x14x14,0.3371,67.7721,0.3524,1.4781
5#160#None_5#176#None_5#192#None_3#160#None_5#160#None_5#160#None,1x128x10x10,0.3039,49.1712,0.5012,1.4727
3#176#None_5#160#None_3#192#None_5#192#None,1x128x12x12,0.3254,50.9599,0.3606,1.1749
5#176#None_5#192#None,1x64x10x10,0.3916,17.3152,0.1766,0.4717
5#160#None_3#160#None_3#176#None_3#160#None_5#192#None,1x144x14x14,0.3304,81.4827,0.4239,1.7285
5#176#None_5#176#None_3#176#None_5#176#None,1x80x14x14,0.3402,53.3434,0.2780,1.2510
3#176#None_3#192#None_3#192#None_5#160#None,1x96x12x12,0.3427,50.1120,0.3547,1.0913
5#160#None_3#192#None_3#176#None_5#176#None_5#176#None_5#192#None,1x128x12x12,0.3169,76.6449,0.5422,1.7877
5#176#None_5#160#None_3#176#None,1x112x10x10,0.3673,25.8240,0.2633,0.6888
3#160#None_5#176#None_5#192#None,1x112x12x12,0.3539,39.3454,0.2784,0.9037
3#192#None_3#192#None_5#160#None,1x128x10x10,0.3694,26.1920,0.2670,0.7778
5#176#None_3#176#None_3#192#None_5#160#None_5#160#None,1x128x12x12,0.3093,59.2635,0.4195,1.3904
3#176#None_3#160#None_3#160#None_3#192#None_5#176#None,1x128x14x14,0.3282,83.6967,0.4353,1.7195
3#192#None_3#160#None,1x96x12x12,0.3776,23.9800,0.1699,0.5318
5#160#None_3#192#None_5#160#None_5#176#None_3#160#None,1x144x10x10,0.3305,45.7232,0.4658,1.2806
3#176#None_3#160#None_3#160#None_5#176#None_5#160#None_5#192#None,1x96x14x14,0.3203,97.8746,0.5092,2.0907
3#176#None_5#160#None_5#176#None,1x128x14x14,0.3558,51.8977,0.2699,1.0771
5#176#None_3#176#None_5#160#None_3#176#None,1x112x10x10,0.3473,32.3360,0.3298,0.8694
5#160#None_5#192#None_5#192#None_3#192#None,1x112x14x14,0.3302,65.8278,0.3423,1.5614
3#192#None_5#192#None_5#160#None,1x128x10x10,0.3640,26.8064,0.2731,0.8467
3#176#None_3#176#None_3#160#None,1x144x12x12,0.3708,33.7836,0.2394,0.7402
3#176#None_5#192#None_5#160#None_5#192#None_3#176#None,1x96x14x14,0.3230,95.1933,0.4946,1.9464
3#160#None_3#176#None_5#160#None_5#160#None_5#192#None_3#192#None,1x112x14x14,0.3030,95.6511,0.4976,2.1617
5#176#None_5#192#None,1x112x10x10,0.3757,19.1248,0.1948,0.4937
5#192#None_5#176#None_5#160#None_3#192#None,1x128x12x12,0.3341,56.6738,0.4007,1.2745
5#160#None_5#160#None_5#160#None_5#176#None_5#176#None,1x96x12x12,0.3113,50.0498,0.3548,1.3977
5#192#None_5#192#None_3#192#None_3#160#None_3#192#None,1x80x10x10,0.3395,42.6576,0.4349,1.1902
3#160#None_3#176#None,1x112x14x14,0.3763,30.2248,0.1575,0.6066
3#176#None_5#160#None_3#160#None,1x144x10x10,0.3499,22.8944,0.2336,0.7147
