3#48#None_5#32#None,1x32x80x80,0.3918,19.5072,0.0130,0.9899
3#32#None_3#48#None,1x32x112x112,0.3786,30.5572,0.0105,1.3528
3#48#None_5#48#None_5#48#None,1x32x80x80,0.3502,32.1792,0.0214,1.5605
5#48#None_5#32#None_5#48#None,1x32x80x80,0.3520,33.3568,0.0221,1.7110
3#48#None_3#48#None_5#32#None_3#32#None,1x32x96x96,0.3444,46.7436,0.0218,2.2400
5#48#None_5#48#None_5#32#None,1x32x112x112,0.3416,64.2253,0.0217,3.0327
5#32#None_5#48#None_5#32#None,1x16x96x96,0.3835,38.5229,0.0179,2.1597
3#48#None_3#48#None_5#48#None_5#32#None,1x16x112x112,0.3673,72.1029,0.0246,3.2830
3#48#None_5#48#None,1x32x112x112,0.3621,41.0941,0.0140,1.7455
5#48#None_3#32#None_3#48#None,1x16x80x80,0.3805,26.1632,0.0176,1.3493
5#32#None_3#48#None,1x32x112x112,0.3671,33.7684,0.0116,1.6666
5#32#None_5#32#None_5#32#None_5#48#None,1x16x80x80,0.3910,28.6720,0.0192,1.9734
3#48#None_5#48#None,1x32x112x112,0.3622,41.0941,0.0140,1.7455
3#48#None_3#48#None_5#32#None,1x32x80x80,0.3745,28.2624,0.0189,1.3775
5#32#None_3#32#None_5#32#None,1x32x80x80,0.3831,17.5104,0.0118,1.2908
5#32#None_3#48#None_3#32#None,1x16x80x80,0.4021,22.6560,0.0153,1.2886
5#32#None_5#32#None_3#48#None_5#32#None,1x16x80x80,0.3978,30.5408,0.0205,1.8991
5#32#None_3#48#None_5#48#None_5#32#None,1x32x96x96,0.3498,55.0011,0.0254,2.7460
3#48#None_3#32#None_3#48#None_3#32#None,1x32x80x80,0.3706,34.9184,0.0235,1.6319
5#48#None_5#32#None_5#48#None,1x16x80x80,0.3775,30.2592,0.0202,1.6636
3#48#None_3#32#None,1x16x80x80,0.4200,14.7712,0.0100,0.7910
5#32#None_5#32#None_3#48#None,1x32x112x112,0.3545,45.2086,0.0155,2.4796
5#32#None_3#48#None_3#48#None,1x16x112x112,0.3629,46.4630,0.0160,2.2058
5#48#None_5#32#None,1x16x112x112,0.3917,36.1769,0.0123,1.9370
3#32#None_5#32#None_5#48#None,1x32x80x80,0.3839,23.4752,0.0157,1.4153
5#48#None_3#48#None_5#48#None,1x16x96x96,0.3522,41.2877,0.0191,1.9941
3#48#None_3#48#None_3#32#None_5#48#None,1x16x80x80,0.3732,35.3280,0.0237,1.7524
3#32#None_5#32#None_5#48#None,1x32x112x112,0.3652,46.0114,0.0157,2.4766
5#48#None_5#48#None,1x16x80x80,0.3897,19.9168,0.0133,1.1058
5#32#None_5#48#None_5#48#None_3#48#None,1x16x96x96,0.3515,53.2316,0.0247,2.6846
5#32#None_5#48#None_3#48#None_3#32#None,1x16x96x96,0.3758,48.1812,0.0224,2.4864
3#48#None_3#32#None,1x32x80x80,0.3955,17.4592,0.0117,0.8339
5#32#None_5#48#None,1x32x96x96,0.3663,27.7586,0.0128,1.4972
3#32#None_5#32#None,1x32x96x96,0.3975,16.8100,0.0079,1.1251
5#32#None_5#48#None,1x32x112x112,0.3687,37.7825,0.0128,1.9774
5#48#None_3#32#None_5#32#None,1x16x80x80,0.3868,22.2464,0.0150,1.3883
5#48#None_5#32#None,1x32x112x112,0.3699,42.2482,0.0143,2.0376
5#32#None_3#32#None,1x16x96x96,0.4116,13.5291,0.0064,1.0508
3#48#None_3#48#None,1x16x96x96,0.3875,22.7820,0.0107,1.0483
5#32#None_5#48#None_3#48#None_3#48#None,1x16x80x80,0.3616,34.5088,0.0231,1.8395
3#32#None_3#48#None,1x32x96x96,0.3849,22.4502,0.0105,1.0589
5#48#None_3#48#None_5#48#None_5#48#None,1x32x96x96,0.3116,61.8947,0.0285,2.8148
5#32#None_5#32#None,1x32x80x80,0.3972,13.3120,0.0089,0.9853
3#48#None_5#48#None_3#48#None,1x16x112x112,0.3566,52.9859,0.0181,2.3205
3#48#None_5#32#None_3#48#None,1x16x112x112,0.3718,52.0827,0.0179,2.3464
3#32#None_3#48#None_3#48#None_5#48#None,1x16x96x96,0.3594,48.5130,0.0226,2.2741
5#32#None_3#32#None,1x16x96x96,0.4145,13.5291,0.0064,1.0508
3#32#None_5#48#None_3#32#None,1x16x96x96,0.3916,33.8043,0.0158,1.7823
3#32#None_5#32#None,1x32x96x96,0.4015,16.8100,0.0079,1.1251
5#32#None_3#48#None_3#48#None,1x16x96x96,0.3646,34.1361,0.0160,1.7205
5#48#None_5#32#None_5#48#None_5#48#None,1x16x96x96,0.3456,59.7197,0.0276,2.9925
3#32#None_3#48#None_3#48#None,1x32x80x80,0.3645,24.3456,0.0164,1.1900
3#32#None_3#32#None,1x32x96x96,0.4013,14.4507,0.0069,0.9066
3#32#None_3#32#None_5#48#None_3#48#None,1x16x80x80,0.3818,28.7232,0.0194,1.6201
3#48#None_5#32#None,1x16x112x112,0.3997,32.9656,0.0113,1.6262
5#48#None_5#48#None_5#48#None_3#32#None,1x32x112x112,0.3330,82.1883,0.0278,3.7091
5#48#None_3#48#None_3#32#None_3#32#None,1x16x80x80,0.3696,29.3632,0.0198,1.6269
5#32#None_5#32#None_3#48#None,1x32x80x80,0.3683,23.0656,0.0155,1.4008
3#32#None_3#32#None_5#32#None,1x16x112x112,0.3982,27.4463,0.0096,1.9034
3#48#None_3#48#None,1x16x112x112,0.3869,31.0088,0.0107,1.3253
3#32#None_5#48#None_5#32#None_3#32#None,1x16x80x80,0.3954,29.7216,0.0200,1.7711
3#32#None_3#32#None_5#48#None,1x32x96x96,0.3702,31.4450,0.0147,1.6898
5#32#None_3#32#None_3#48#None,1x16x96x96,0.3854,27.5743,0.0130,1.6100
3#32#None_3#48#None,1x16x96x96,0.4037,19.7591,0.0093,1.0164
5#48#None_5#32#None_3#48#None,1x16x96x96,0.3637,40.6241,0.0189,2.0284
5#48#None_3#32#None_3#32#None_5#32#None,1x16x80x80,0.3841,26.4448,0.0179,1.6938
5#48#None_3#32#None,1x32x80x80,0.3867,19.5072,0.0130,0.9812
3#48#None_3#48#None_3#32#None,1x16x80x80,0.3983,23.5264,0.0159,1.1786
3#32#None_3#32#None,1x32x96x96,0.4032,14.4507,0.0069,0.9066
5#32#None_3#32#None_3#32#None_3#48#None,1x16x80x80,0.3977,23.3472,0.0159,1.5170
5#48#None_5#32#None_5#32#None_5#32#None,1x32x112x112,0.3480,65.1284,0.0221,3.6636
3#32#None_3#32#None_5#48#None_3#48#None,1x32x112x112,0.3449,59.9603,0.0206,2.8485
5#48#None_3#32#None_3#32#None_5#32#None,1x16x96x96,0.3698,38.0805,0.0179,2.3108
5#48#None_5#48#None,1x32x96x96,0.3531,33.1407,0.0152,1.5571
3#32#None_5#48#None_3#48#None,1x32x80x80,0.3593,26.3936,0.0177,1.3483
3#48#None_3#48#None,1x16x80x80,0.4076,15.8208,0.0107,0.7961
5#48#None_5#32#None_3#32#None,1x16x112x112,0.3725,44.4058,0.0152,2.4603
3#32#None_5#32#None_3#48#None,1x32x80x80,0.3835,21.4272,0.0145,1.2569
5#48#None_3#48#None_3#48#None,1x16x96x96,0.3543,37.7487,0.0176,1.7715
5#32#None_5#48#None_5#32#None,1x32x96x96,0.3614,41.8038,0.0193,2.2299
5#32#None_3#32#None,1x32x80x80,0.4053,11.6736,0.0079,0.8363
3#32#None_5#32#None_5#32#None_5#48#None,1x32x80x80,0.3785,29.3120,0.0197,1.8698
3#32#None_3#32#None_5#32#None_5#48#None,1x32x96x96,0.3627,39.8500,0.0186,2.3152
3#48#None_3#48#None_3#48#None_5#32#None,1x16x112x112,0.3699,67.2860,0.0230,2.9494
3#48#None_3#48#None_5#32#None_3#48#None,1x32x80x80,0.3441,38.0160,0.0254,1.7930
3#32#None_3#48#None,1x32x80x80,0.3924,15.5904,0.0105,0.8024
5#48#None_5#48#None_3#48#None,1x16x80x80,0.3646,28.6720,0.0191,1.4934
3#48#None_3#32#None,1x32x96x96,0.3833,25.1412,0.0117,1.1248
3#48#None_5#48#None_5#32#None_3#32#None,1x32x112x112,0.3416,68.4401,0.0233,3.2313
5#32#None_3#32#None,1x32x112x112,0.3913,22.8803,0.0079,1.4698
5#32#None_3#32#None_5#48#None,1x16x80x80,0.4004,21.1968,0.0143,1.3699
3#32#None_3#48#None_3#32#None,1x16x96x96,0.3936,30.8552,0.0145,1.5583
5#32#None_3#48#None_5#32#None_3#48#None,1x16x80x80,0.3737,34.4576,0.0231,1.8601
5#32#None_5#32#None_3#48#None,1x32x112x112,0.3555,45.2086,0.0155,2.4796
5#32#None_5#48#None,1x32x96x96,0.3683,27.7586,0.0128,1.4972
3#48#None_5#48#None_5#48#None_5#48#None,1x16x112x112,0.3479,79.7798,0.0271,3.6492
3#48#None_3#48#None_3#32#None,1x32x80x80,0.3735,26.2144,0.0176,1.2215
3#32#None_5#48#None_5#48#None_3#32#None,1x32x96x96,0.3566,52.6418,0.0244,2.5648
3#32#None_5#48#None_5#48#None_3#32#None,1x16x112x112,0.3777,67.9885,0.0232,3.2368
5#48#None_3#48#None_5#48#None,1x32x96x96,0.3264,45.7482,0.0211,2.0746
3#32#None_5#48#None_5#48#None_3#48#None,1x32x80x80,0.3460,37.6064,0.0251,1.9028
5#48#None_5#48#None,1x32x80x80,0.3694,23.0144,0.0152,1.1532
5#48#None_5#32#None_5#48#None_3#32#None,1x32x80x80,0.3549,41.0624,0.0273,2.0935
3#48#None_5#32#None,1x32x112x112,0.3809,38.2341,0.0130,1.7128
5#32#None_3#48#None_5#32#None,1x16x112x112,0.3802,48.4198,0.0166,2.5067
3#32#None_3#32#None_5#48#None,1x16x80x80,0.4081,19.9680,0.0135,1.2325
3#32#None_5#48#None_5#48#None,1x32x80x80,0.3587,28.8512,0.0192,1.5153
3#48#None_3#48#None_3#48#None,1x16x96x96,0.3601,35.3894,0.0166,1.5657
3#32#None_5#32#None_3#32#None_5#48#None,1x16x112x112,0.3819,50.5774,0.0174,2.9344
3#32#None_5#48#None,1x32x80x80,0.3900,17.6384,0.0118,0.9607
3#32#None_3#48#None,1x32x112x112,0.3828,30.5572,0.0105,1.3528
5#32#None_3#32#None_5#48#None,1x16x96x96,0.3906,30.5234,0.0143,1.8340
5#32#None_3#32#None,1x32x80x80,0.4011,11.6736,0.0079,0.8363
3#32#None_5#32#None_3#32#None_3#32#None,1x16x80x80,0.4098,18.2016,0.0125,1.4187
3#32#None_3#32#None_3#32#None_5#48#None,1x32x112x112,0.3624,51.0290,0.0176,2.7103
3#32#None_3#48#None_3#32#None,1x32x112x112,0.3672,45.6602,0.0157,1.9964
5#48#None_5#32#None_5#48#None,1x16x112x112,0.3586,59.3080,0.0202,2.9679
3#48#None_5#48#None_5#32#None,1x16x112x112,0.3765,54.9427,0.0187,2.6214
5#48#None_5#48#None_5#48#None,1x32x112x112,0.3243,67.0853,0.0226,3.0654
3#32#None_5#48#None_3#48#None,1x32x80x80,0.3608,26.3936,0.0177,1.3483
3#48#None_5#32#None_3#32#None_3#48#None,1x16x80x80,0.3781,30.7712,0.0208,1.6680
3#48#None_5#32#None_5#32#None,1x16x112x112,0.3789,44.4058,0.0152,2.4392
3#32#None_3#32#None_3#32#None_5#48#None,1x16x96x96,0.3865,34.7996,0.0164,2.0543
5#32#None_5#48#None,1x16x96x96,0.3922,24.4777,0.0114,1.4270
3#32#None_3#48#None_5#48#None,1x16x112x112,0.3670,48.8714,0.0167,2.2824
3#32#None_5#32#None,1x32x96x96,0.3995,16.8100,0.0079,1.1251
3#48#None_5#32#None_5#48#None,1x16x96x96,0.3722,41.2140,0.0191,2.0466
5#48#None_5#48#None,1x16x112x112,0.3764,39.0369,0.0133,1.9696
5#48#None_3#32#None_5#48#None,1x32x80x80,0.3505,31.3088,0.0209,1.5550
3#48#None_5#32#None_5#32#None,1x16x112x112,0.3813,44.4058,0.0152,2.4392
3#32#None_5#32#None,1x32x112x112,0.3964,22.8803,0.0079,1.4456
3#32#None_5#48#None,1x16x80x80,0.4162,15.7696,0.0106,0.9270
5#32#None_3#32#None_3#32#None,1x16x112x112,0.3946,26.6435,0.0093,1.8707
5#48#None_5#48#None,1x32x80x80,0.3659,23.0144,0.0152,1.1532
5#32#None_5#32#None_3#48#None,1x32x80x80,0.3708,23.0656,0.0155,1.4008
5#48#None_5#48#None,1x16x112x112,0.3774,39.0369,0.0133,1.9696
3#48#None_3#32#None,1x16x80x80,0.4165,14.7712,0.0100,0.7910
5#48#None_3#32#None,1x32x80x80,0.3873,19.5072,0.0130,0.9812
3#32#None_5#32#None,1x16x112x112,0.4135,19.2174,0.0067,1.3800
3#32#None_5#32#None,1x16x96x96,0.4132,14.1189,0.0067,1.0827
5#32#None_5#32#None_5#32#None,1x16x96x96,0.3923,24.2934,0.0114,1.8947
5#48#None_5#32#None_5#48#None_3#32#None,1x16x96x96,0.3646,54.6693,0.0254,2.7942
3#32#None_3#32#None,1x16x96x96,0.4194,11.7596,0.0057,0.8642
3#32#None_3#32#None_3#48#None_3#48#None,1x32x96x96,0.3476,41.1034,0.0193,1.9833
3#32#None_5#32#None,1x16x80x80,0.4325,9.8048,0.0067,0.8077
3#32#None_3#48#None,1x16x112x112,0.4006,26.8943,0.0093,1.2872
3#32#None_3#48#None_3#32#None_5#32#None,1x32x80x80,0.3710,29.1328,0.0196,1.6395
3#48#None_5#48#None,1x16x96x96,0.3863,26.3209,0.0123,1.2709
3#32#None_3#32#None_3#48#None,1x16x112x112,0.3855,35.1232,0.0122,1.8106
3#48#None_3#48#None,1x16x112x112,0.3864,31.0088,0.0107,1.3253
5#48#None_3#48#None_3#48#None,1x32x80x80,0.3388,29.3120,0.0196,1.3737
5#48#None_5#48#None_3#32#None,1x32x80x80,0.3591,30.7200,0.0204,1.5357
3#32#None_5#32#None_5#48#None,1x16x112x112,0.3895,42.3485,0.0145,2.4110
3#32#None_5#48#None_5#48#None_5#48#None,1x16x112x112,0.3571,74.8626,0.0254,3.5883
5#48#None_5#32#None_5#32#None,1x16x96x96,0.3739,34.9839,0.0163,2.0946
3#48#None_5#32#None,1x32x80x80,0.3935,19.5072,0.0130,0.9899
5#48#None_5#32#None_3#48#None_3#32#None,1x32x80x80,0.3549,39.0144,0.0260,1.9352
5#48#None_5#48#None,1x16x80x80,0.3906,19.9168,0.0133,1.1058
5#48#None_3#32#None,1x16x96x96,0.3951,23.6298,0.0111,1.2784
5#32#None_3#32#None_3#32#None,1x16x96x96,0.3949,19.5748,0.0093,1.4577
3#48#None_5#32#None_3#48#None_5#48#None,1x16x112x112,0.3507,74.0598,0.0253,3.3416
5#48#None_5#32#None_5#48#None,1x32x112x112,0.3320,65.3793,0.0221,3.0686
3#32#None_5#48#None_3#48#None_3#48#None,1x16x96x96,0.3595,47.9232,0.0224,2.2754
3#32#None_3#48#None_5#48#None_5#32#None,1x16x112x112,0.3791,67.9885,0.0232,3.2449
